Qual è il tuo ruolo lavorativo?,Quanti anni di esperienza hai nel settore?,Quale definizione si applica meglio all'azienda per cui lavori?,Quanti dipendenti ha la tua azienda?,Dove si trova la sede della tua azienda?,La tua azienda lavora a progetti open-source?,La tua azienda è sponsor di progetti opensource?,Quale tipologia di progetti open-source utilizzate in azienda?,Porti avanti progetti open-source in modo individuale?,Quali sono secondo te le maggiori sfide/difficoltà quando ci si imbatte in progetti open?,In che modo contribuisci a progetti open-source?,Fai parte di una o più tech community?,Pensi che si possa monetizzare un progetti opensource o crearci un business?,Quali sono i tre progetti/frameworks opensource che utilizzi nel tuo quotidiano?,Quali sono i linguaggi di programmazione che utilizzi di più?
Data Analyst / Data Scientist / Data Engineer,da 0 a 3,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['Databases e Data tools', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando",['mancanza sviluppisupporto da parte della communityautore'],['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['airflow', 'dbt', 'pandas']",['python']
Mobile App Developer,da 4 a 6,Big Company,Piu di 500,Europa,Non so,Non sostiene nessun progetto,['Non so'],No,"['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione']",['creo issues e segnalo bug'],Si,"Si, ma non saprei come","['swift', 'llvm']","['swift', 'objectivec']"
Back-end Developer,da 7 a 10,Startup,50 - 500,Italia,Non so,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework']","No, ma ci sto pensando",['non ho mai riscontrato problemi'],['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, ma non saprei come","['typescript', 'npm', 'vite']","['typescript', 'go', 'c#']"
Front-end Developer,da 4 a 6,Startup,10 - 50,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,['Non so'],No,"['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['partecipo alle community dei relativi progetti'],"No, ma mi piacerebbe","Si, ma solo con donazioni","['vue', 'react']",['typescript']
Tech Lead,11+,Startup,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework']",Si,"['mancanza sviluppisupporto da parte della communityautore', 'problemi di performance']",['creo issues e segnalo bug'],No,"Si, ma non saprei come","['react', 'nextjs', 'vercel']","['js', 'php']"
Software Engineer,da 0 a 3,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'integrazione con sistemi gia in uso']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda",['vscode'],"['rust', 'c++', 'typescript']"
Software Engineer,11+,Startup,10 - 50,Italia,Si,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore', 'integrazione con sistemi gia in uso']","['creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']",Si,"Si, puo essere il core business di un'azienda","['django', 'nextjs', 'reactadmin']","['typescript', 'python', 'kotlin']"
Software Engineer,da 0 a 3,Startup,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['Databases e Data tools', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando","['installazione e configurazione', 'integrazione con sistemi gia in uso']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, ma solo con donazioni","['springboot', 'jenkins', 'elasticsearch']","['java', 'python']"
Back-end Developer,11+,Startup,10 - 50,UK,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Opensource Hardware', 'Security Tools', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, ma non saprei come","['cats effect', 'http4s', 'fs2']","['scala', 'haskell']"
Full-stack Developer,11+,Piccola - medio impresa,50 - 500,Italia,Si,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza']","['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']","Si, sono un Founder o un Community Lead","Si, ma solo con donazioni","['laravel', 'node', 'git']","['php', 'javascript']"
Security engineer / Cybersecurity,da 4 a 6,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Security Tools']",Si,"['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore', 'problemi di performance']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']",Si,"Si, puo essere il core business di un'azienda",['linux'],"['c++', 'python', 'go']"
Front-end Developer,da 0 a 3,Lavoro come freelance,0 - 10,Italia,Si,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Sistemi Operativi', 'Tools DevOps']",Si,"['endoflife di una versione', 'integrazione con sistemi gia in uso']","['creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']",No,"Si, puo essere il core business di un'azienda",['react'],"['python', 'javascript', 'java']"
Back-end Developer,11+,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",No,"['installazione e configurazione', 'mancanza sviluppisupporto da parte della communityautore', 'integrazione con sistemi gia in uso']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['intellij idea community', 'circe', 'apache poi']","['scala', 'python', 'java']"
Software Architect,11+,Lavoro come freelance,0 - 10,Italia,Si,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Opensource Hardware', 'Containers e Orchestrazione']",Si,"['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issues e segnalo bug'],Si,"Si, puo essere il core business di un'azienda","['spring framework', 'k8s', 'docker']","['java', 'javascript', 'php']"
Full-stack Developer,da 4 a 6,Piccola - medio impresa,0 - 10,Italia,Si,Non sostiene nessun progetto,"['Databases e Data tools', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'installazione e configurazione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'utilizzo solo i progetti e non contribuisco in alcun modo']","No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['jest', 'nest.js', 'angular']","['typescript', 'python']"
Back-end Developer,11+,Big Company,Piu di 500,Italia,Si,5+,"['Databases e Data tools', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'installazione e configurazione']","['creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['linux', 'virtualbox']","['.net', 'go python rust erlang']"
CTO,11+,Piccola - medio impresa,0 - 10,Italia,"Si, anche progetti di rilevanza per il business",2 - 5,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",No,"['installazione e configurazione', 'uxui', 'endoflife di una versione']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']","Si, sono un Founder o un Community Lead","Si, puo essere il core business di un'azienda","['kubernetes', 'react', 'helm']","['typescript', 'python', 'c#']"
Back-end Developer,da 4 a 6,Piccola - medio impresa,10 - 50,Italia,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,['Linguaggi di programmazione e Framework'],"No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']",['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno'],Si,"Si, puo essere il core business di un'azienda","['sylius', 'symfony']","['php', 'javascript']"
Tech Lead,da 7 a 10,Startup,10 - 50,USA,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Security Tools']",Si,['mancanza di documentazione'],"['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']","No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['node', 'fastify', 'vue']",['typescript']
CTO,11+,Piccola - medio impresa,10 - 50,Italia,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Security Tools', 'Containers e Orchestrazione']",No,"['mancanza di documentazione', 'uxui', ""migrazione da un progetto open all'altro""]",['utilizzo solo i progetti e non contribuisco in alcun modo'],No,"Si, puo essere il core business di un'azienda","['symfony', 'docker', 'linux']","['php', 'go', 'python']"
Security engineer / Cybersecurity,da 7 a 10,Big Company,50 - 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'CMS', 'Security Tools', 'Containers e Orchestrazione']","No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, puo essere il core business di un'azienda",['django'],"['python', 'bash']"
Full-stack Developer,da 4 a 6,Piccola - medio impresa,50 - 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Security Tools', 'Containers e Orchestrazione']","No, ma ci sto pensando",['mancanza di documentazione'],['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, ma non saprei come","['springboot', 'react', 'flask']","['python', 'typescript', 'java']"
CTO,11+,Startup,10 - 50,USA,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Security Tools', 'Containers e Orchestrazione']",Si,['problemi di aggiornamento e patch di sicurezza'],"['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda",['next.js vscode orama'],['typescript javascript rust']
Full-stack Developer,da 0 a 3,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['installazione e configurazione', 'endoflife di una versione', 'integrazione con sistemi gia in uso']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']",Si,"Si, puo essere il core business di un'azienda","['vue.js', 'react', 'node.js']","['javascript', 'typescript', 'c#']"
Front-end Developer,11+,Piccola - medio impresa,50 - 500,Italia,"No, ma ci stiamo lavorando",2 - 5,"['IDE (Vscode, Atomo, Vim etc...)', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['partecipo alle community dei relativi progetti'],Si,"Si, ma non saprei come","['angular', 'qwik', 'rxjs']","['typescript', 'javascript']"
DevOps Engineer / Site Reliability Engineer,11+,Piccola - medio impresa,50 - 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'CMS', 'Containers e Orchestrazione']",No,['endoflife di una versione'],"['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']",Si,"Si, puo essere il core business di un'azienda","['kubernetes', 'terraform', 'mysql']","['python', 'php']"
Full-stack Developer,11+,Startup,0 - 10,USA,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,['Linguaggi di programmazione e Framework'],Si,"['mancanza di documentazione', 'installazione e configurazione']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']",Si,No,"['orama', 'prisma', 'pino']","['typescript', 'javascript', 'rust']"
Agile Coach / Facilitatore / Scrum Master,da 4 a 6,Piccola - medio impresa,10 - 50,Italia,Si,1,['Security Tools'],No,"['endoflife di una versione', ""migrazione da un progetto open all'altro""]",['partecipo alle community dei relativi progetti'],Si,"Si, puo essere il core business di un'azienda",['non ricordo'],['tutti']
Full-stack Developer,da 4 a 6,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Linguaggi di programmazione e Framework', 'Security Tools']","No, ma ci sto pensando","['mancanza di documentazione', ""migrazione da un progetto open all'altro"", 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,No,['springboot'],"['java', 'typescript']"
Full-stack Developer,da 4 a 6,Startup,50 - 500,Italia,"No, ma ci stiamo lavorando",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",No,['non ho mai riscontrato problemi'],['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, puo essere il core business di un'azienda","['django', 'vue', 'vscode']","['python', 'bash', 'typescript']"
Full-stack Developer,da 7 a 10,Piccola - medio impresa,50 - 500,Europa,"Si, anche progetti di rilevanza per il business",5+,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,"['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']",Si,"Si, ma non saprei come","['react', 'docusaurus', 'fastify']","['typescript', 'javascript', 'python']"
DevOps Engineer / Site Reliability Engineer,da 4 a 6,Big Company,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Security Tools']","No, ma ci sto pensando",['endoflife di una versione'],['partecipo alle community dei relativi progetti'],Si,"Si, ma solo con donazioni","['unix', 'obs', 'greenshot']",['na']
Back-end Developer,da 4 a 6,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,['non ho mai riscontrato problemi'],"['creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']","No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['spring', 'kafka', 'postgresql']","['java', 'python']"
Software Architect,da 7 a 10,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Tools DevOps', 'Linguaggi di programmazione e Framework']",Si,"['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issues e segnalo bug'],Si,"Si, puo essere il core business di un'azienda",['springboot'],['java']
Agile Coach / Facilitatore / Scrum Master,11+,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,['Nessuno'],No,['integrazione con sistemi gia in uso'],['utilizzo solo i progetti e non contribuisco in alcun modo'],No,"Si, puo essere il core business di un'azienda","['magento ce', 'projeqtor']","['php', 'js']"
Tech Lead,11+,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Opensource Hardware', 'Security Tools', 'Containers e Orchestrazione']",Si,['mancanza di documentazione'],['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['nodejs', 'fastify']","['typescript', 'javascript']"
Mobile App Developer,11+,Lavoro come freelance,0 - 10,Italia,Si,Non sostiene nessun progetto,"['Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework']",Si,"['mancanza di documentazione', 'endoflife di una versione']","['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, ma solo con donazioni","['flutter', 'laravel', 'nestjs']","['dart', 'typescript', 'php']"
Back-end Developer,11+,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Containers e Orchestrazione']","No, ma ci sto pensando","['endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, ma solo con donazioni","['laravel', 'angular', 'jenkins']","['php', 'javascript']"
Data Analyst / Data Scientist / Data Engineer,da 4 a 6,Startup,0 - 10,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework']","No, ma ci sto pensando",['non ho mai riscontrato problemi'],['utilizzo solo i progetti e non contribuisco in alcun modo'],"Si, sono un Founder o un Community Lead","Si, puo essere il core business di un'azienda","['tensorflow', 'apache beam', 'pandas']",['python']
Software Architect,11+,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework']",Si,['mancanza di documentazione'],"['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']",No,"Si, puo essere il core business di un'azienda","['vscode', 'c#', 'fusioncache']","['c#', 'typescript']"
Mobile App Developer,da 0 a 3,Piccola - medio impresa,50 - 500,Italia,Si,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework']",Si,"['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issue e apro pullrequest per risolvere le issues'],Si,"Si, ma non saprei come","['swift', 'realhttp']",['swift']
Back-end Developer,11+,Piccola - medio impresa,50 - 500,Italia,No,Non sostiene nessun progetto,['Linguaggi di programmazione e Framework'],"No, ma ci sto pensando","['mancanza di documentazione', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'utilizzo solo i progetti e non contribuisco in alcun modo']",Si,"Si, puo essere il core business di un'azienda","['mediatr', 'dapper', 'fluentvalidation']",['c#']
Full-stack Developer,da 4 a 6,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['installazione e configurazione', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, ma non saprei come","['dotnet', 'blazor', '.net maui']","['c#', 'javascript']"
Full-stack Developer,da 0 a 3,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Sistemi Operativi']","No, ma ci sto pensando","[""migrazione da un progetto open all'altro"", 'mancanza sviluppisupporto da parte della communityautore', 'integrazione con sistemi gia in uso']",['partecipo alle community dei relativi progetti'],No,"Si, puo essere il core business di un'azienda",['springboot'],"['visual basic', 'c#', 'java']"
Back-end Developer,da 7 a 10,Piccola - medio impresa,10 - 50,Italia,Non so,Non sostiene nessun progetto,"['Sistemi Operativi', 'Linguaggi di programmazione e Framework']",No,"['problemi di aggiornamento e patch di sicurezza', 'uxui', 'endoflife di una versione']",['partecipo alle community dei relativi progetti'],"No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['diango', 'ubuntu']","['python', 'c++']"
Back-end Developer,da 4 a 6,Big Company,50 - 500,Europa,"Si, anche progetti di rilevanza per il business",5+,['Linguaggi di programmazione e Framework'],Si,['mancanza di documentazione'],"['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['node.js', 'fastify']","['javascript', 'c++']"
Software Architect,11+,Piccola - medio impresa,10 - 50,Italia,Si,2 - 5,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,"['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['magento', 'vscode', 'obsidian']","['php', 'javascripttypescript']"
Cloud Architect,11+,Piccola - medio impresa,10 - 50,Europa,Si,1,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Security Tools', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['middy', 'axum', 'fastify']","['javascripttypescript', 'rust', 'python']"
Agile Coach / Facilitatore / Scrum Master,11+,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Security Tools', 'Containers e Orchestrazione']","No, ma ci sto pensando","['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza']",['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno'],Si,"Si, puo essere il core business di un'azienda","['visual studio code', 'playwright', 'terraform']","['typescript', 'bash', 'c#']"
Tech Lead,11+,Startup,Piu di 500,Europa,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Linguaggi di programmazione e Framework', 'Security Tools']",No,['mancanza sviluppisupporto da parte della communityautore'],['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma non saprei come","['springboot', 'react', 'node']","['java', 'typescript']"
Front-end Developer,da 4 a 6,Piccola - medio impresa,50 - 500,Italia,"No, ma ci stiamo lavorando",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'installazione e configurazione', 'endoflife di una versione']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']","Si, sono un Founder o un Community Lead","Si, puo essere il core business di un'azienda","['react', 'vscode', 'nodejs']","['typescript', 'javascript']"
Full-stack Developer,da 4 a 6,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS']",Si,['non ho mai riscontrato problemi'],['creo issue e apro pullrequest per risolvere le issues'],Si,"Si, ma non saprei come","['linux', 'bootstrap', 'mariadb']","['php', 'sql', 'javascript']"
HR,da 0 a 3,Startup,10 - 50,Italia,Si,1,['Non so'],No,['integrazione con sistemi gia in uso'],['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,No,[''],['']
Back-end Developer,11+,Big Company,50 - 500,Europa,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'endoflife di una versione']","['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, ma non saprei come","['fastify', 'postgres', 'hapi']","['javascript', 'bash']"
